# CoreText İngilizce karşılıkları. Satır = Türkçe anahtar <TAB> İngilizce. '#' ile başlayan satır yorumdur.
# Anahtar, koddaki CoreText.T("...") metniyle birebir aynı olmalı (yer tutucular ve biçim belirteçleri dahil).
# --- KineticInputReader ---
{0} satırda zaman boş ya da sayı değil; bu satırlar atlandı.	In {0} row(s) the time is empty or not a number; these rows were skipped.
{0} satırda zaman ≤ 0; bu satırlar atlandı (t = 0 noktası F = 0 kabul edilir, girilmesi gerekmez).	In {0} row(s) time ≤ 0; these rows were skipped (t = 0 is taken as F = 0 and need not be entered).
{0} satırda ne tekrar ne ortalama değeri var; bu satırlar atlandı.	In {0} row(s) there is neither a replicate nor a mean value; these rows were skipped.
{0} satırda salım ≤ 0; bu satırlar atlandı.	In {0} row(s) release ≤ 0; these rows were skipped.
{0} satırda tekrar girilmediği için "Ortalama" sütunu kullanıldı.	In {0} row(s) no replicates were entered, so the "Mean" column was used.
Geçerli veri noktası bulunamadı. Her satırda pozitif bir zaman ve en az bir tekrar (ya da Ortalama sütununda) pozitif bir salım değeri gerekir.	No valid data points found. Each row needs a positive time and a positive release value in at least one replicate (or in the Mean column).
{0} noktada salım %100'ün üzerinde. Değerler olduğu gibi kullanıldı; miktar tayini kaynaklı küçük aşımlar normaldir, ancak doyuma giden modeller %100 tavanını varsayar.	At {0} point(s) release exceeds 100 %. The values were used as entered; small overshoots from the assay are normal, but saturating models assume a 100 % ceiling.
Tüm değerler ≤ 1,5: veri kesir (0–1) ölçeğinde girilmiş görünüyor. Modeller salımı yüzde (0–100) olarak bekler; kesir girilirse doyuma giden modeller anlamsız sonuç verir. Değerleri 100 ile çarpın.	All values ≤ 1.5: the data appear to be on a fraction (0–1) scale. The models expect release as a percentage (0–100); with fractions the saturating models give meaningless results. Multiply the values by 100.
Profil zamanla azalıyor: veri "kalan ilaç" formatında varsayıldı ve 100 − F ile salıma çevrildi. Salım girdiyseniz ve profil gerçekten azalıyorsa (ör. bozunma) bu çevrim yanlıştır.	The profile decreases with time: the data were assumed to be in "drug remaining" format and converted to release as 100 − F. If you entered release and the profile really does decrease (e.g. degradation), this conversion is wrong.
Yalnız {0} nokta var. İki parametreli modellerde serbestlik derecesi kalmaz; en az 5–6 nokta önerilir.	Only {0} points. Two-parameter models are left with no degrees of freedom; at least 5–6 points are recommended.
# --- Birimler ---
zaman	time
1/zaman	1/time
%/zaman	%/time
%/zaman^n	%/time^n
%/zaman^m	%/time^m
%/zaman^2m	%/time^2m
%/zaman^0.5	%/time^0.5
%·zaman^-0.5	%·time^-0.5
zaman^b	time^b
# --- Hopfenberg / Baker-Lonsdale ---
